timestamp,moisture_value,moisture_percentage,ph_ph_value,ph_depth,ph_light,ph_temperature,npk_nitrogen,npk_phosphorus,npk_potassium
4/15/2025 15:36,259,75,7.31,2,201,28,51,72,145
4/15/2025 15:36,258,75,7.35,2,201,28,51,72,145
4/15/2025 15:36,271,74,7.31,2,202,28,51,72,145
4/15/2025 15:36,263,75,7.31,2,202,28,51,72,145
4/15/2025 15:36,258,75,7.38,2,202,28,51,72,145
4/15/2025 15:36,261,75,7.31,2,202,28,51,72,145
4/15/2025 15:37,260,75,7.38,2,202,28,51,72,145
4/15/2025 15:37,259,75,7.35,2,202,28,51,72,145
4/15/2025 15:37,258,75,7.35,2,201,28,51,72,145
4/15/2025 15:37,260,75,7.31,2,201,28,51,72,145
4/15/2025 15:37,257,75,7.31,2,201,28,51,72,145
4/15/2025 15:37,260,75,7.31,2,201,28,51,72,145
4/15/2025 15:37,261,75,7.35,2,202,28,51,72,145
4/15/2025 15:38,265,75,7.35,2,202,28,51,72,145
4/15/2025 15:38,262,75,7.31,2,202,28,51,72,145
4/15/2025 15:38,261,75,7.42,2,202,28,51,72,145
4/15/2025 15:38,261,75,7.31,2,201,28,51,72,145
4/15/2025 15:38,259,75,7.35,2,201,28,51,72,145
4/15/2025 15:38,262,75,7.31,2,201,28,51,72,145
4/15/2025 15:38,260,75,7.35,2,201,28,51,72,145
4/15/2025 15:39,261,75,7.31,2,202,28,51,72,145
4/15/2025 15:39,260,75,7.35,2,202,28,51,72,145
4/15/2025 15:39,265,75,7.35,2,202,28,51,72,145
4/15/2025 15:39,264,75,7.31,2,202,28,51,72,145
4/15/2025 15:39,261,75,7.42,2,201,28,51,72,145
4/15/2025 15:39,263,75,7.31,2,201,28,51,72,145
4/15/2025 15:40,265,75,7.38,2,201,28,51,72,145
4/15/2025 15:40,262,75,7.35,2,202,28,51,72,145
4/15/2025 15:40,267,74,7.35,2,202,28,51,72,145
4/15/2025 15:40,262,75,7.35,2,202,28,51,72,145
4/15/2025 15:40,262,75,7.35,2,202,28,51,72,145
4/15/2025 15:40,260,75,7.31,2,201,28,51,72,145
4/15/2025 15:41,261,75,7.35,2,201,28,51,72,145
4/15/2025 15:41,262,75,7.35,2,202,28,51,72,145
4/15/2025 15:41,262,75,7.35,2,202,28,51,72,145
4/15/2025 15:41,276,74,7.38,2,202,28,51,72,145
4/15/2025 15:41,263,75,7.31,2,202,28,51,72,145
4/15/2025 15:41,263,75,7.35,2,201,28,51,72,145
4/15/2025 15:42,262,75,7.31,2,201,28,51,72,145
4/15/2025 15:42,263,75,7.31,2,201,28,51,72,145
4/15/2025 15:42,264,75,7.31,2,202,28,51,72,145
4/15/2025 15:42,264,75,7.35,2,202,28,51,72,145
